genre,title,author,pages,unique_key,average_rating,book_description
romantic,A Stitch in Time,by Kelley Armstrong (Goodreads Author),336 pages,https://www.goodreads.com/book/show/53447303-a-stitch-in-time,4.22,"Thorne Manor has always been haunted...and it has always haunted Bronwyn Dale. As a young girl, Bronwyn could pass through a time slip in her great-aunt’s house, where she visited William Thorne, a boy her own age, born two centuries earlier. After a family tragedy, the house was shuttered and Bronwyn was convinced that William existed only in her imagination.

Now, twenty years later Bronwyn inherits Thorne Manor. And when she returns, William is waiting.

William Thorne is no longer the boy she remembers. He’s a difficult and tempestuous man, his own life marred by tragedy and a scandal that had him retreating to self-imposed exile in his beloved moors. He’s also none too pleased with Bronwyn for abandoning him all those years ago.

As their friendship rekindles and sparks into something more, Bronwyn must also deal with ghosts in the present version of the house. Soon she realizes they are linked to William and the secret scandal that drove him back to Thorne Manor. To build a future, Bronwyn must confront the past."
romantic,All This Time,"by Mikki Daughtry (Goodreads Author), Rachael Lippincott (Goodreads Author)",336 pages,https://www.goodreads.com/book/show/50892133-all-this-time,3.95,
romantic,Don't Hex and Drive,by Juliette Cross (Goodreads Author),346 pages,https://www.goodreads.com/book/show/53566150-don-t-hex-and-drive,4.18,"Notoriously bad at peopling, Isadora Savoie spends most of her time in the greenhouse or at the local animal shelter, using her Conduit powers of growth and healing. Content to remain in the background of the Savoie sister shenanigans, she’s reluctantly roped into the mystery of missing neighborhood girls. Now, she’s partnered with a flashy, flirty vampire to find them before it’s too late.

Devraj Kumar has seen and done it all. Three hundred years roaming the earth as a Stygorn — a legendary vampire warrior who operates in the shadows — has its perks. But ennui has set in. That is, until he has a run-in — literally — with an intriguing witch while on a new assignment in New Orleans. Fascinated by her resistance to his charms, Devraj can’t help but push her buttons in an effort to get to know the shy witch. Fortunately for him, she’s been recruited by the Lord of Vampires to assist Devraj on the case.

Between a Bollywood marathon, supernatural dating app, secret package, and sexy driving instruction, Isadora is in over her head. And Devraj? After just one taste, he’s playing for keeps."
romantic,Happily Letter After,"by Vi Keeland (Goodreads Author), Penelope Ward (Goodreads Author)",299 pages,https://www.goodreads.com/book/show/51494123-happily-letter-after,4.26,"From New York Times bestselling authors Vi Keeland and Penelope Ward comes a love story about taking chances, and the surprises that come with them.

My love story all started with a letter.

Only it wasn’t from the man I’d eventually fall in love with. It was from his daughter.  A sweet little girl named Birdie Maxwell who’d written to the magazine that I worked for.

You see, once a year, my employer fulfilled a few wishes for readers. Only that column didn’t start up again for months.

So I fulfilled some of her wishes myself. It was harmless…so I thought. Until one day I took things too far.

While anonymously granting yet another of Birdie’s wishes, I got a look at her father. Her devastatingly handsome, single dad father. 

I should have stopped playing fairy godmother then. I should have left well enough alone. But I just couldn’t help myself.  I had a connection to this girl. One that had me acting irrationally.

Like showing up on their doorstep."
romantic,The Christmas Pact,"by Vi Keeland (Goodreads Author), Penelope Ward (Goodreads Author), Andi Arndt (Goodreads Author) (Narrator), Sebastian York (Narrator)",3 pages,https://www.goodreads.com/book/show/48988798-the-christmas-pact,3.65,"Listening Length: 2 hours and 54 minutes

Heat up the holidays with this sizzling new novella from New York Times best-selling authors Vi Keeland and Penelope Ward!

Riley Kennedy’s emails keep getting crossed with her colleague, Kennedy Riley.

The infuriating man forwards them along with his annoying commentary and unsolicited advice. At least she never has to see him in person since they work in different locations…until they come face to face at the office holiday party. As luck would have it, Kennedy turns out to be gorgeous…though still a jerk. Yet somehow he’s able to charm her out on the dance floor—and convince her to participate in his crazy scheme: He’ll go home with Riley for a Christmas party and pretend to be her boyfriend if Riley agrees to be his date to a wedding.

It sounds easy enough. But little by little, the act they’re putting on starts to feel like so much more than a Christmas pact—and Riley’s about to learn there’s more to Kennedy than she ever imagined."
romantic,The Red Hot Earl,by Darcy Burke (Goodreads Author),131 pages,https://www.goodreads.com/book/show/53075892-the-red-hot-earl,4.18,"The Earl of Buckleigh was once an untitled misfit, tormented at Oxford. Now, he’s overcome his challenges and is eager for the future, especially when his oldest and dearest friend, Bianca, needs help to save the annual holiday party. Ash has a plan to rescue the event, but when the bullies from his youth are up to their old tricks, he must risk everything to put the past behind him and find true love.

Furious when her brother refuses to host the St. Stephen’s Day party, Lady Bianca Stafford is committed to giving the villagers their celebration. In Ash, she sees salvation for their local tradition, and perhaps a future she never expected. But her brother has other plans for her—a Season and marriage, and not to Ash. When disaster strikes, everything she cares about is threatened and it will take a miracle—or a hero—to save the day.

The Red Hot Earl is inspired by the song and story, Rudolph the Red-Nosed Reindeer."
romantic,My Way to You,by Catherine Bybee (Goodreads Author),361 pages,https://www.goodreads.com/book/show/46270408-my-way-to-you,4.24,"A woman’s journey through tragedy leads to the discovery of love in a novel about hope and survival by New York Times bestselling author Catherine Bybee.
When a wildfire nearly destroys Parker Sinclair’s family home, it’s just one more disaster to add to her mountain of stress. For the past two years, she has shouldered the responsibility of raising her younger brother and sister after their parents’ untimely deaths. Forced to leave college for a crappy job that barely pays the bills, Parker manages her family property, which consumes every aspect of her life. Now winter is coming and the forecast isn’t spreading sunshine on the dark cloud over her head. The last thing Parker needs is a mudslide destroying everything she has worked so hard to maintain.
Colin Hudson’s job as a public works supervisor is to protect Parker’s property and neighborhood from further damage. But it’s a little hard when the owner of the land is a control freak who tries to do everything herself. The hardworking, attractive young woman is far from the “hot mess” she claims to be. In fact, her tight grip of control is one of the things that attract him the most. It’s also the hardest to crack. Now Colin’s working overtime to help Parker open up her heart, trust him, and let him in.
As Parker and Colin work together to keep her home and neighborhood safe, they may be in for another disaster. Or they may just realize that sometimes it takes destruction to create something new."
romantic,Every Breath,by Nicholas Sparks (Goodreads Author),321 pages,https://www.goodreads.com/book/show/38212843-every-breath,4.02,"In the romantic tradition of The Notebook and Nights in Rodanthe, #1 New York Times bestselling author Nicholas Sparks returns with a story about a chance encounter that becomes a touchstone for two vastly different individuals -- transcending decades, continents, and the bittersweet workings of fate.

Hope Anderson is at a crossroads. At thirty-six, she's been dating her boyfriend, an orthopedic surgeon, for six years. With no wedding plans in sight, and her father recently diagnosed with ALS, she decides to use a week at her family's cottage in Sunset Beach, North Carolina, to ready the house for sale and mull over some difficult decisions about her future.

Tru Walls has never visited North Carolina but is summoned to Sunset Beach by a letter from a man claiming to be his father. A safari guide, born and raised in Zimbabwe, Tru hopes to unravel some of the mysteries surrounding his mother's early life and recapture memories lost with her death. When the two strangers cross paths, their connection is as electric as it is unfathomable . . . but in the immersive days that follow, their feelings for each other will give way to choices that pit family duty against personal happiness in devastating ways.

Illuminating life's heartbreaking regrets and enduring hope, Every Breath explores the many facets of love that lay claim to our deepest loyalties -- and asks the question, How long can a dream survive?"
romantic,The Bribe,by Willa Nash (Goodreads Author),322 pages,https://www.goodreads.com/book/show/53078968-the-bribe,4.37,"Duke Evans didn’t expect to interrupt a beautiful woman in a staring contest with a bison on his favorite hiking trail. He also didn’t expect to see her again after rescuing her from the surly beast. As the sheriff in Calamity, Montana, he’s had his fair share of surprises but none as pleasant as pulling over a shiny black car and finding his mysterious hiking companion behind the wheel.

Only, she lied to Duke. She gave him a name as fake as her hair color. According to her driver’s license, her real name is Lucy Ross, the famous country music singer whose sudden disappearance has been a hot topic in the media over the past two weeks.

He’s not sure why Lucy lied about her identity or why she’s in Calamity. And she’s not talking. Instead, she offers him a bribe to keep her secret.

But Duke doesn’t want her money. He wants to know why this woman is on the run. And as long as the star shines on his badge, he’s going to find out."
romantic,Your Perfect Year,"by Charlotte Lucas, Alison Layland (Goodreads Author) (Translator)",439 pages,https://www.goodreads.com/book/show/51247073-your-perfect-year,3.77,"A man consumed by a meaningless life is going to do something he’s never considered doing before. He’s going to enjoy the day…
For hyper-particular publishing heir Jonathan Grief, the day starts like any other—with a strict morning fitness regimen that’ll keep his divorced, easily irritated, cynical, forty-two-year-old self in absolutely flawless physical condition. But all it takes to put a crimp in his routine is one small annoyance. Someone has left a leather-bound day planner with the handwritten title Your Perfect Year in his spot on his mountain bike at his fitness course!
Determined to discover its owner, Jonathan opens the calendar to find that someone known only as “H.” has filled it in with suggestions, tasks, and affirmative actions for each day. The more he devotes himself to locating the elusive H., the deeper Jonathan is drawn into someone else’s rich and generous narrative—and into an attitude adjustment he desperately needs.
He may have ended up with a perfect year by accident, but it seems fate has set Jonathan on a path toward healing, feeling, and maybe even loving again…if only he can meet the stranger who’s changing his life one day at a time."
